@relation herramientas
@attribute 'areaContorno' numeric
@attribute 'perimetroContorno' numeric
@attribute 'anchoRectangulo' numeric
@attribute 'largoRectangulo' numeric
@attribute 'radioCirculo' numeric
@attribute 'areaTriangulo' numeric
@attribute 'lenHull' numeric
@attribute 'lenDefects' numeric
@attribute 'areaRotated' numeric
@attribute 'class' { Martillo, Cutter, PinzasPunta, Nivelador, Desarmador, Espatula, Tijeras, PinzasMecanico }
@data
1075724.5,8064.5755,1992,1287,1038,2110772.25,109,104,2489714.5096,Martillo
1160819.0,7956.0552,1873,2318,1301,2190794.75,44,36,1237860.2606,Nivelador
529653.0,5533.9124,922,1523,802,820254.125,75,71,1199738.7366,Tijeras
1032513.0,9030.731,1891,1396,1021,2070827.875,97,91,2434605.2412,Martillo
1078417.5,8120.8925,1959,1616,1041,2096564.875,106,101,2458886.1496,Martillo
979550.0,8567.3605,1528,1933,1009,2007372.0,88,82,2343132.6865,Martillo
699667.0,6838.607,1083,1600,898,1194547.3125,62,54,1090264.231,PinzasMecanico
294964.5,3886.1853,869,1429,786,417330.5,42,40,396772.6781,Cutter
995873.0,4207.5281,1308,911,718,1795066.5,85,79,1046340.9367,Espatula
558294.5,9294.8681,687,1901,960,900831.5,52,49,1303261.4197,PinzasPunta
914473.5,4329.7673,1329,1319,693,1641494.25,75,70,969769.2782,Espatula
327655.5,5964.9876,1141,1251,794,470619.25,41,38,451740.1207,Cutter
1278589.0,6672.3102,1116,2676,1343,2360090.75,53,46,1327720.581,Nivelador
311409.5,4274.6075,326,1581,796,439803.5,48,43,419970.4244,Cutter
1035590.5,8412.6284,1301,2051,1030,2117953.375,109,103,2486083.3355,Martillo
667944.0,9259.8071,1800,592,900,1182693.625,77,75,1059929.7575,PinzasMecanico
628711.0,8068.2983,731,1945,976,973183.25,51,47,1385659.8082,PinzasPunta
1011517.0,4378.4806,1380,1049,725,1823727.0,83,78,1062726.389,Espatula
1162637.5,6535.4224,1693,2469,1321,2233366.5,42,34,1211216.7028,Nivelador
560388.0,9096.9383,1268,1717,966,909111.5,48,43,1300808.4333,PinzasPunta
1254724.0,6559.5037,539,2654,1339,2308776.625,53,48,1303399.5658,Nivelador
477693.5,7876.6284,2024,1079,1100,698202.5,58,52,859557.5733,Desarmador
512602.5,8247.3147,535,2180,1099,731619.5,49,45,971217.4329,Desarmador
1084292.5,8360.5838,1717,1801,1041,2135451.875,100,95,2513998.7483,Martillo
315918.0,4467.301,1602,403,804,453029.75,41,37,437468.4419,Cutter
502801.5,6987.3492,1624,1371,960,898373.375,62,56,1262982.38,PinzasPunta
559338.5,7923.8488,1151,1577,902,970757.0,78,75,974140.7459,PinzasMecanico
909811.5,4282.5201,1230,845,687,1614364.3125,88,83,974731.0926,Espatula
